Time,B1,B2,B3,T1,T2,T3
05/07/2022 10:35:00,9,0,0,3,3,0
05/07/2022 10:40:00,11,0,0,4,4,1
05/07/2022 10:45:00,10,0,0,1,14,0
05/07/2022 10:50:00,10,0,0,1,2,1
05/07/2022 10:55:00,11,0,0,4,0,0
05/07/2022 11:00:00,12,0,0,2,2,1
05/07/2022 11:05:00,12,0,0,2,3,1
05/07/2022 11:10:00,8,0,0,1,5,1
05/07/2022 11:15:00,12,0,0,4,4,0
05/07/2022 11:20:00,8,0,0,5,2,1
05/07/2022 11:25:00,4,0,0,4,2,1
05/07/2022 11:30:00,12,0,0,4,1,0
05/07/2022 11:35:00,10,0,0,6,6,1
05/07/2022 11:40:00,15,1,0,1,3,0
05/07/2022 11:45:00,14,0,0,2,5,1
05/07/2022 11:50:00,13,0,0,5,5,1
05/07/2022 11:55:00,12,0,0,0,6,0
05/07/2022 12:00:00,12,0,0,4,3,0
05/07/2022 12:05:00,10,0,0,0,3,1
05/07/2022 12:10:00,20,0,2,3,3,1
05/07/2022 12:15:00,21,0,0,1,6,3
05/07/2022 12:20:00,12,0,0,3,4,1
05/07/2022 12:25:00,16,0,0,4,3,2
05/07/2022 12:30:00,14,0,0,5,2,1
05/07/2022 12:35:00,24,0,0,5,4,1
05/07/2022 12:40:00,18,0,0,3,4,2
05/07/2022 12:45:00,8,0,0,7,4,0
05/07/2022 12:50:00,17,0,0,0,2,0
05/07/2022 12:55:00,11,0,0,1,2,1
05/07/2022 13:00:00,17,0,0,1,4,2
05/07/2022 13:05:00,17,0,0,0,5,1
05/07/2022 13:10:00,15,0,0,1,3,1
05/07/2022 13:15:00,18,0,0,4,4,0
05/07/2022 13:20:00,14,0,0,1,5,2
05/07/2022 13:25:00,16,0,0,2,3,0
05/07/2022 13:30:00,21,0,0,3,7,0
05/07/2022 13:35:00,20,0,0,2,2,0
05/07/2022 13:40:00,20,0,1,2,4,1
05/07/2022 13:45:00,10,0,1,4,5,1
05/07/2022 13:50:00,21,0,1,5,6,3
05/07/2022 13:55:00,21,0,0,0,2,1
05/07/2022 14:00:00,30,0,0,2,4,1
05/07/2022 14:05:00,23,0,0,4,8,3
05/07/2022 14:10:00,21,0,0,7,3,0
05/07/2022 14:15:00,31,0,0,5,7,3
05/07/2022 14:20:00,31,0,0,3,4,1
05/07/2022 14:25:00,25,0,0,2,4,1
05/07/2022 14:30:00,28,0,0,1,1,0
05/07/2022 14:35:00,27,0,0,1,1,0
05/07/2022 14:40:00,16,0,0,4,9,0
05/07/2022 14:45:00,28,0,1,3,3,1
05/07/2022 14:50:00,25,0,0,1,2,2
05/07/2022 14:55:00,24,0,0,5,10,1
05/07/2022 15:00:00,33,0,1,5,5,3
05/07/2022 15:05:00,28,0,0,2,2,0
05/07/2022 15:10:00,28,0,0,6,4,0
05/07/2022 15:15:00,42,0,0,2,3,2
05/07/2022 15:20:00,25,0,2,4,4,1
05/07/2022 15:25:00,39,0,0,4,5,1
05/07/2022 15:30:00,18,0,1,2,4,1
05/07/2022 15:35:00,25,0,0,5,3,0
05/07/2022 15:40:00,40,0,0,6,5,1
05/07/2022 15:45:00,40,0,0,9,2,2
05/07/2022 15:50:00,35,0,0,1,3,1
05/07/2022 15:55:00,26,1,0,3,5,0
05/07/2022 16:00:00,28,0,2,4,1,0
05/07/2022 16:05:00,33,0,1,3,1,0
05/07/2022 16:10:00,44,0,0,0,5,1
05/07/2022 16:15:00,25,0,0,4,7,5
05/07/2022 16:20:00,27,0,0,7,3,0
05/07/2022 16:25:00,46,0,0,3,2,1
05/07/2022 16:30:00,22,0,0,4,7,0
05/07/2022 16:35:00,25,0,0,2,6,1
05/07/2022 16:40:00,29,1,0,1,3,1
05/07/2022 16:45:00,26,0,0,4,4,1
05/07/2022 16:50:00,40,0,0,7,2,8
05/07/2022 16:55:00,32,0,0,1,2,1
05/07/2022 17:00:00,24,0,0,2,0,2
05/07/2022 17:05:00,19,0,0,2,2,0
05/07/2022 17:10:00,34,0,0,1,5,2
05/07/2022 17:15:00,29,0,1,1,2,0
05/07/2022 17:20:00,23,1,0,3,8,2
05/07/2022 17:25:00,27,1,0,4,3,0
05/07/2022 17:30:00,16,0,0,1,3,0
05/07/2022 17:35:00,16,0,0,3,3,1
05/07/2022 17:40:00,18,0,0,2,7,1
05/07/2022 17:45:00,22,0,0,3,6,2
05/07/2022 17:50:00,16,1,0,0,5,2
05/07/2022 17:55:00,21,0,0,1,2,0
05/07/2022 18:00:00,14,0,0,4,2,1
05/07/2022 18:05:00,12,0,0,4,3,0
05/07/2022 18:10:00,23,0,0,3,1,0
05/07/2022 18:15:00,11,0,0,3,1,1
05/07/2022 18:20:00,12,0,0,1,1,0
05/07/2022 18:25:00,14,0,0,1,3,0
05/07/2022 18:30:00,8,0,0,1,3,0
05/07/2022 18:35:00,15,0,0,2,4,0
05/07/2022 18:40:00,17,0,0,1,3,1
05/07/2022 18:45:00,11,0,0,2,0,0
05/07/2022 18:50:00,15,0,0,4,2,0
05/07/2022 18:55:00,5,0,0,2,2,0
05/07/2022 19:00:00,13,0,0,0,5,1
05/07/2022 19:05:00,12,0,0,2,7,1
05/07/2022 19:10:00,10,0,0,3,3,1
05/07/2022 19:15:00,5,0,0,1,3,0
05/07/2022 19:20:00,10,0,0,1,3,0
05/07/2022 19:25:00,9,0,0,0,2,2
05/07/2022 19:30:00,12,0,0,3,0,1
05/07/2022 19:35:00,9,0,0,1,5,2
05/07/2022 19:40:00,6,0,0,2,2,0
05/07/2022 19:45:00,16,0,0,1,4,2
05/07/2022 19:50:00,8,0,0,0,2,0
05/07/2022 19:55:00,8,0,0,1,3,0
05/07/2022 20:00:00,10,0,0,0,3,1
05/07/2022 20:05:00,9,0,0,0,2,0
05/07/2022 20:10:00,6,0,0,1,0,1
05/07/2022 20:15:00,4,0,0,1,1,2
05/07/2022 20:20:00,10,1,0,0,5,1
05/07/2022 20:25:00,6,0,0,4,3,1
05/07/2022 20:30:00,15,0,0,3,1,1
05/07/2022 20:35:00,3,0,0,0,3,0
