demand_time,sample_count,MAE,RMSE,MAPE,R2
5,2400,1.499187198195259,4.673247646510028,37.90376317607387,0.8696977330390055
15,2400,1.7763866075650578,4.560729177309396,45.035576557841665,0.8552862278960014
30,2400,1.6993733736834844,4.371986251852216,45.421400803509655,0.8634105826069309
60,2400,1.7992258611969116,4.963370842443417,44.7907305835707,0.8484325621119527
