demand_time,scene_type,sample_count,MAE,RMSE,MAPE,R2
5,3,600,2.1805756446285343,6.765616401641734,53.40185252151512,0.6817664455583425
5,4,1800,1.193123553184446,3.3596381178544052,31.35191373819196,0.9323135799515485
15,3,600,1.6054946955283833,4.791572206160022,42.38313302786798,0.8257314709084289
15,4,1800,1.329366233971914,3.382909291192089,41.019312716452085,0.9101350202041062
30,3,600,1.5057753636711786,3.9652691323836735,40.794749290416966,0.8668245486624606
30,4,1800,1.4310709197789724,4.0995214876379045,41.204854992038484,0.8988771765796031
60,3,600,1.9685938482114933,6.2423508640353065,46.928022057712596,0.8132688998733353
60,4,1800,1.3940158858678493,3.3638695886827628,38.19859270160941,0.921171146076221
