validation_scheme,scene_type,sample_count,MAE,RMSE,MAPE,R2
position_aware,3,2400,1.8151098880098975,5.554795970667284,45.88888649244447,0.7951738762468059
position_aware,4,7200,1.3368941482007954,3.5655623186477783,37.93172634769323,0.9158089611635696
