demand_time,scene_type,sample_count,MAE,RMSE,MAPE,R2
5,3,600,1.993669160803231,5.887377644420909,53.40185252151512,0.6778863753913534
5,4,1800,1.3390375562823442,4.2583614902634155,31.53502511343063,0.8982378784731414
15,3,600,2.143041348330283,6.696978664226885,49.29495661149984,0.7758563740444692
15,4,1800,1.4750241776322297,4.444463884122717,41.47970456347059,0.8613819337826929
30,3,600,2.079577469476281,6.308971291271132,47.46278449751004,0.7498093554284112
30,4,1800,1.6720194735428078,4.90783675795969,43.26020841958607,0.8585281456677994
60,3,600,2.0866287492829927,6.026286410457065,45.80735201701355,0.7681692131611368
60,4,1800,1.723830924835973,4.896478969053598,40.4740547189133,0.8664485098472252
